"","ppt_id","Motives.Feeling","Motives.Exciting","Motives.High","Motives.Fun","Motives.Good","PGSI.Afford","PGSI.Excitement","PGSI.WinBack","PGSI.Borrowed","PGSI.Problem","PGSI.Health","PGSI.Criticised","PGSI.Financial","PGSI.Guilty"
"200","P1605","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"201","P0437","Always","Often","Always","Sometimes","Sometimes","Never","MostTime","MostTime","Never","Sometimes","Sometimes","Never","Never","Sometimes"
"202","P0265","Sometimes","Sometimes","Never","Often","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never"
"203","P0106","Sometimes","Sometimes","Sometimes","Sometimes","Never","MostTime","Sometimes","MostTime","Never","Sometimes","Sometimes","Never","Never","Sometimes"
"204","P0592","Never","Always","Never","Always","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"205","P0746","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"206","P0213","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"207","P0500","Sometimes","Often","Sometimes","Always","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"208","P1297","Always","Always","Often","Always","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"209","P1193","Sometimes","Sometimes","Often","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"210","P1539","Often","Often","Always","Often","Always","Never","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Sometimes"
"211","P0748","Sometimes","Always","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","Sometimes"
"212","P0282","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes","Never","Never","Never"
"213","P1656","Never","Never","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"214","P0672","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"215","P1220","Always","Always","Always","Always","Always","Never","Never","Sometimes","Never","Never","Sometimes","Never","Never","Sometimes"
"216","P1617","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"217","P0587","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"218","P1320","Never","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"219","P1441","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Sometimes"
"220","P1607","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
