"","ppt_id","bet_no","bet_time","old_bonus","total_amt_bet","win","new_bonus","average_odds","total_numbers_bet","no_tokens"
"6475","P0708",7,"14:35:53",1.4,-0.3,0.2,1.3,3.72,27,3
"6476","P0708",8,"14:36:23",1.3,-0.5,0.5,1.3,1.15,37,5
"6477","P0708",9,"14:36:40",1.3,-0.1,0,1.2,35.03,1,1
"6478","P0708",10,"14:37:18",1.2,-0.6,1.1,1.7,1.17,37,6
"6479","P0708",11,"14:37:53",1.7,-0.3,0,1.4,4.47,21,3
"6480","P1517",1,"14:37:58",3,-0.7,1,3.3,1.3,20,2
"6481","P1517",2,"14:38:16",3.3,-0.5,0,2.8,1.03,18,1
"6482","P0708",12,"14:38:28",1.4,-0.4,0.2,1.2,2.15,35,4
"6483","P1517",3,"14:38:31",2.8,-0.5,1,3.3,1.03,18,1
"6484","P0708",13,"14:38:50",1.2,-0.2,0.2,1.2,8.53,19,2
"6485","P0531",1,"14:38:54",3,-0.4,0,2.6,17.03,2,2
"6486","P0531",2,"14:39:10",2.6,-0.4,0,2.2,17.03,2,2
"6487","P0708",14,"14:39:12",1.2,-0.2,0,1,8.53,19,2
"6488","P0531",3,"14:39:21",2.2,-0.4,0,1.8,17.03,2,2
"6489","P0708",15,"14:39:26",1,-0.1,0,0.9,35.03,1,1
"6490","P0531",4,"14:39:32",1.8,-0.4,0,1.4,17.03,2,2
"6491","P0531",5,"14:39:44",1.4,-0.4,0,1,17.03,2,2
"6492","P0531",6,"14:39:55",1,-0.4,0,0.6,17.03,2,2
"6493","P0531",7,"14:40:22",0.6,-0.6,0,0,17.03,2,4
"6494","P1418",1,"14:46:11",3,-0.1,0.2,3.1,1.03,18,1
"6495","P1418",2,"14:46:27",3.1,-0.1,0,3,1.03,18,1
"6496","P1418",3,"14:46:47",3,-1,2,4,1.03,18,1
"6497","P1418",4,"14:47:03",4,-1,0,3,1.03,18,1
"6498","P0742",1,"14:52:16",3,-0.5,0,2.5,1.03,18,1
"6499","P0742",2,"14:52:32",2.5,-0.5,1,3,1.03,18,1
"6500","P0742",3,"14:53:04",3,-1,2,4,1.03,18,2
"6501","P0742",4,"14:53:22",4,-1,2,5,1.03,18,1
"6502","P0742",5,"14:53:38",5,-1,2,6,1.03,18,1
