"pptid","Condition","Match","Bet.Category","Subcategory","Bet.Description","Stake","Potential.Payout"
"F.1229","Control","","","Endowment","Unspent",2,2
"F.0971","Treatment","","","Endowment","Unspent",3,3
"F.1095","Treatment","","","Endowment","Unspent",0,0
"F.0358","Control","","","Endowment","Unspent",3,3
"F.0478","Control","","","Endowment","Unspent",3,3
"F.1119","Treatment","","","Endowment","Unspent",0,0
"F.0116","Treatment","","","Endowment","Unspent",0,0
"F.1216","Treatment","","","Endowment","Unspent",0,0
"F.0549","Treatment","","","Endowment","Unspent",0,0
"F.0017","Control","","","Endowment","Unspent",3,3
"F.0595","Control","","","Endowment","Unspent",3,3
"F.1007","Control","","","Endowment","Unspent",2,2
"F.0968","Treatment","","","Endowment","Unspent",3,3
"F.0128","Treatment","","","Endowment","Unspent",0,0
"F.0773","Treatment","","","Endowment","Unspent",3,3
"F.0494","Treatment","","","Endowment","Unspent",0,0
"F.0957","Treatment","","","Endowment","Unspent",0,0
"F.0644","Control","","","Endowment","Unspent",0,0
"F.0169","Control","","","Endowment","Unspent",0,0
"F.1107","Control","","","Endowment","Unspent",0,0
"F.1027","Control","","","Endowment","Unspent",1,1
"F.0333","Treatment","","","Endowment","Unspent",3,3
"F.1193","Treatment","","","Endowment","Unspent",1.5,1.5
"F.0592","Treatment","","","Endowment","Unspent",3,3
"F.0871","Control","","","Endowment","Unspent",0,0
"F.1204","Treatment","","","Endowment","Unspent",0,0
"F.1148","Treatment","","","Endowment","Unspent",0,0
"F.1023","Treatment","","","Endowment","Unspent",0,0
"F.0449","Treatment","","","Endowment","Unspent",3,3
"F.0436","Control","","","Endowment","Unspent",1.15,1.15
"F.1082","Control","","","Endowment","Unspent",0,0
"F.0797","Treatment","","","Endowment","Unspent",3,3
"F.0730","Control","","","Endowment","Unspent",3,3
"F.0039","Control","","","Endowment","Unspent",0,0
"F.0290","Control","","","Endowment","Unspent",0,0
"F.0602","Control","","","Endowment","Unspent",0,0
"F.0699","Treatment","","","Endowment","Unspent",3,3
"F.0145","Treatment","","","Endowment","Unspent",3,3
"F.0874","Treatment","","","Endowment","Unspent",3,3
"F.0529","Treatment","","","Endowment","Unspent",0,0
"F.0087","Control","","","Endowment","Unspent",0,0
"F.1160","Treatment","","","Endowment","Unspent",0,0
"F.1201","Control","","","Endowment","Unspent",3,3
"F.0239","Control","","","Endowment","Unspent",3,3
"F.0810","Treatment","","","Endowment","Unspent",0,0
"F.1116","Treatment","","","Endowment","Unspent",3,3
"F.0045","Control","","","Endowment","Unspent",0,0
"F.0057","Treatment","","","Endowment","Unspent",0,0
"F.1134","Control","","","Endowment","Unspent",0,0
"F.0820","Treatment","","","Endowment","Unspent",3,3
"F.1280","Control","","","Endowment","Unspent",3,3
"F.1115","Treatment","","","Endowment","Unspent",1,1
"F.0061","Control","","","Endowment","Unspent",0,0
"F.0065","Control","","","Endowment","Unspent",0,0
"F.0441","Treatment","","","Endowment","Unspent",3,3
"F.0749","Control","","","Endowment","Unspent",3,3
"F.0569","Control","","","Endowment","Unspent",0,0
"F.0350","Control","","","Endowment","Unspent",2,2
"F.0437","Treatment","","","Endowment","Unspent",3,3
"F.0593","Control","","","Endowment","Unspent",0,0
"F.0849","Control","","","Endowment","Unspent",3,3
"F.0961","Control","","","Endowment","Unspent",3,3
"F.0477","Control","","","Endowment","Unspent",1,1
"F.0567","Control","","","Endowment","Unspent",2.5,2.5
"F.1246","Control","","","Endowment","Unspent",2,2
"F.0049","Control","","","Endowment","Unspent",0,0
"F.0335","Control","","","Endowment","Unspent",3,3
"F.0006","Control","","","Endowment","Unspent",3,3
"F.1304","Treatment","","","Endowment","Unspent",3,3
"F.0542","Control","","","Endowment","Unspent",0,0
"F.0788","Control","","","Endowment","Unspent",0,0
"F.0768","Control","","","Endowment","Unspent",0,0
"F.1191","Treatment","","","Endowment","Unspent",2,2
"F.0649","Treatment","","","Endowment","Unspent",3,3
"F.0975","Control","","","Endowment","Unspent",3,3
"F.0451","Control","","","Endowment","Unspent",1,1
"F.0068","Control","","","Endowment","Unspent",3,3
"F.0171","Control","","","Endowment","Unspent",3,3
"F.1172","Treatment","","","Endowment","Unspent",2,2
"F.0598","Treatment","","","Endowment","Unspent",0,0
"F.0702","Control","","","Endowment","Unspent",0,0
"F.0237","Treatment","","","Endowment","Unspent",1,1
"F.1210","Control","","","Endowment","Unspent",0,0
"F.1262","Control","","","Endowment","Unspent",0,0
"F.0762","Treatment","","","Endowment","Unspent",0,0
"F.1015","Control","","","Endowment","Unspent",0,0
"F.1303","Control","","","Endowment","Unspent",3,3
"F.0138","Control","","","Endowment","Unspent",3,3
"F.1133","Treatment","","","Endowment","Unspent",0,0
"F.1289","Control","","","Endowment","Unspent",3,3
"F.0120","Control","","","Endowment","Unspent",0,0
"F.1076","Control","","","Endowment","Unspent",3,3
"F.0369","Treatment","","","Endowment","Unspent",2,2
"F.1040","Treatment","","","Endowment","Unspent",0,0
"F.0918","Control","","","Endowment","Unspent",2,2
"F.0853","Control","","","Endowment","Unspent",3,3
"F.0174","Treatment","","","Endowment","Unspent",0,0
"F.0498","Treatment","","","Endowment","Unspent",0,0
"F.1299","Control","","","Endowment","Unspent",2,2
"F.0505","Treatment","","","Endowment","Unspent",0,0
"F.0402","Control","","","Endowment","Unspent",2,2
"F.0029","Control","","","Endowment","Unspent",0,0
"F.1017","Treatment","","","Endowment","Unspent",0,0
"F.1232","Treatment","","","Endowment","Unspent",2,2
"F.0379","Control","","","Endowment","Unspent",0,0
"F.0100","Treatment","","","Endowment","Unspent",3,3
"F.0764","Control","","","Endowment","Unspent",3,3
"F.1224","Control","","","Endowment","Unspent",3,3
"F.1050","Control","","","Endowment","Unspent",0,0
"F.0465","Treatment","","","Endowment","Unspent",0,0
"F.0211","Control","","","Endowment","Unspent",3,3
"F.1047","Control","","","Endowment","Unspent",3,3
"F.0255","Control","","","Endowment","Unspent",3,3
"F.0982","Control","","","Endowment","Unspent",0,0
"F.0510","Control","","","Endowment","Unspent",3,3
"F.0555","Control","","","Endowment","Unspent",0,0
"F.0831","Control","","","Endowment","Unspent",0,0
"F.0383","Control","","","Endowment","Unspent",3,3
"F.0858","Treatment","","","Endowment","Unspent",0,0
"F.0580","Control","","","Endowment","Unspent",0,0
"F.0765","Control","","","Endowment","Unspent",3,3
"F.0523","Control","","","Endowment","Unspent",3,3
"F.1267","Treatment","","","Endowment","Unspent",3,3
"F.0273","Control","","","Endowment","Unspent",3,3
"F.0329","Control","","","Endowment","Unspent",1.5,1.5
"F.0979","Control","","","Endowment","Unspent",2,2
"F.0742","Treatment","","","Endowment","Unspent",2,2
"F.0931","Treatment","","","Endowment","Unspent",1,1
"F.0370","Treatment","","","Endowment","Unspent",3,3
"F.1247","Treatment","","","Endowment","Unspent",3,3
"F.0059","Treatment","","","Endowment","Unspent",0,0
"F.0661","Control","","","Endowment","Unspent",2.6,2.6
"F.1199","Treatment","","","Endowment","Unspent",3,3
"F.0220","Control","","","Endowment","Unspent",0,0
"F.0147","Control","","","Endowment","Unspent",1,1
"F.0231","Control","","","Endowment","Unspent",1.5,1.5
"F.0735","Treatment","","","Endowment","Unspent",3,3
"F.0450","Treatment","","","Endowment","Unspent",3,3
"F.0452","Control","","","Endowment","Unspent",0,0
"F.1068","Treatment","","","Endowment","Unspent",3,3
"F.0463","Treatment","","","Endowment","Unspent",0,0
"F.0105","Treatment","","","Endowment","Unspent",0,0
"F.0158","Treatment","","","Endowment","Unspent",3,3
