"pptid","Condition","Match","Bet.Category","Subcategory","Bet.Description","Stake","Potential.Payout"
"F.0998","Control","Man City vs Arsenal","Correct Score","Home","3--2",0.3,5.7
"F.0998","Control","Leicester vs Aston Villa","First Goalscorer","Home","Jamie Vardy",0.2,0.66
"F.0998","Control","Newcastle vs Man Utd","Correct Score","Away","1--3",0.2,2.4
"F.0998","Control","Everton vs Liverpool","90 Minutes","Home","Everton",1,3.9
"F.0126","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.0151","Treatment","Tottenham vs West Ham","Correct Score","Home","2--1",3,24
"F.1248","Treatment","Everton vs Liverpool","Correct Score","Home","2--0",3,69
"F.0141","Treatment","Leeds vs Wolves","90 Minutes","Draw","Draw",0.25,0.81
"F.0141","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",0.25,0.39
"F.0141","Treatment","Man City vs Arsenal","90 Minutes","Away","Arsenal",0.25,1.88
"F.0141","Treatment","West Brom vs Burnley","90 Minutes","Draw","Draw",0.25,0.83
"F.0141","Treatment","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",0.25,0.53
"F.0141","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",0.25,0.42
"F.0141","Treatment","Leicester vs Aston Villa","90 Minutes","Draw","Draw",0.25,0.95
"F.0141","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.25,0.38
"F.0141","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",0.25,0.98
"F.0141","Treatment","Crystal Palace vs Brighton","90 Minutes","Away","Brighton",0.25,0.68
"F.0067","Treatment","Leicester vs Aston Villa","Correct Score","Home","3--2",0.5,9.5
"F.0067","Treatment","Crystal Palace vs Brighton","Correct Score","Home","2--1",0.5,5
"F.0067","Treatment","Everton vs Liverpool","Correct Score","Away","1--3",1,12
"F.0067","Treatment","Chelsea vs Southampton","Correct Score","Draw","1--1",0.5,4.25
"F.0067","Treatment","Tottenham vs West Ham","Correct Score","Home","2--1",0.5,4
"F.0588","Control","Leeds vs Wolves","Correct Score","Away","3--4",0.5,50.5
"F.0588","Control","Leeds vs Wolves","Correct Score","Away","2--3",0.5,17
"F.0588","Control","Newcastle vs Man Utd","First Goalscorer","Home","Jamal Lewis",0.5,63
"F.0588","Control","Newcastle vs Man Utd","First Goalscorer","Home","Emil Krafth",0.5,50.5
"F.0588","Control","Newcastle vs Man Utd","First Goalscorer","Draw","No Goalscorer",0.5,5.5
"F.0588","Control","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",0.5,2.5
"F.0615","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.0791","Control","Sheffield Utd vs Fulham","90 Minutes","Away","Fulham",0.5,1.88
"F.0791","Control","Chelsea vs Southampton","90 Minutes","Away","Southampton",0.5,3.25
"F.0791","Control","Tottenham vs West Ham","90 Minutes","Away","West Ham",0.5,2.9
"F.0022","Treatment","Newcastle vs Man Utd","Correct Score","Draw","4--4",0.5,63
"F.0022","Treatment","Chelsea vs Southampton","Correct Score","Home","2--0",0.5,4
"F.0022","Treatment","Leeds vs Wolves","Correct Score","Home","3--2",1,34
"F.0022","Treatment","Leeds vs Wolves","Correct Score","Home","2--1",1,9.5
"F.0980","Treatment","Everton vs Liverpool","90 Minutes","Draw","Draw",3,11.7
"F.0008","Treatment","West Brom vs Burnley","90 Minutes","Home","West Brom",0.25,0.63
"F.0008","Treatment","Sheffield Utd vs Fulham","90 Minutes","Draw","Draw",0.25,0.81
"F.0008","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",0.25,0.98
"F.0008","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",0.25,0.65
"F.1012","Treatment","Leicester vs Aston Villa","90 Minutes","Home","Leicester",1,1.8
"F.1012","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.1012","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.1045","Treatment","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",0.1,0.27
"F.0978","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.25,0.38
"F.0978","Treatment","Chelsea vs Southampton","90 Minutes","Away","Southampton",0.75,4.88
"F.0978","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",1,1.85
"F.0978","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",1,3.9
"F.0206","Control","Everton vs Liverpool","Correct Score","Draw","1--1",0.01,0.07
"F.0291","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0865","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.0656","Treatment","Man City vs Arsenal","90 Minutes","Draw","Draw",3,15
"F.1168","Control","Man City vs Arsenal","90 Minutes","Away","Arsenal",0.25,1.88
"F.1168","Control","Leeds vs Wolves","90 Minutes","Home","Leeds",0.5,1.3
"F.1168","Control","Newcastle vs Man Utd","First Goalscorer","Away","Bruno Fernandes",0.5,2.5
"F.1168","Control","Everton vs Liverpool","90 Minutes","Home","Everton",0.25,0.98
"F.1288","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.1020","Treatment","Chelsea vs Southampton","90 Minutes","Away","Southampton",0.2,1.3
"F.1020","Treatment","Man City vs Arsenal","90 Minutes","Away","Arsenal",0.2,1.5
"F.1020","Treatment","Crystal Palace vs Brighton","90 Minutes","Draw","Draw",0.2,0.64
"F.1020","Treatment","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",0.2,0.87
"F.1020","Treatment","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",0.2,1
"F.0624","Treatment","Everton vs Liverpool","Correct Score","Home","1--0",1,15
"F.0055","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",0.5,0.93
"F.1142","Treatment","Leeds vs Wolves","90 Minutes","Away","Wolves",0.5,1.44
"F.1142","Treatment","West Brom vs Burnley","90 Minutes","Home","West Brom",0.5,1.25
"F.1142","Treatment","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",0.5,2.17
"F.1142","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",0.5,1.95
"F.0221","Control","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",2,3.33
"F.0221","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.0640","Treatment","Man City vs Arsenal","90 Minutes","Home","Man City",3,4.2
"F.0507","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.0581","Treatment","Tottenham vs West Ham","90 Minutes","Away","West Ham",3,17.4
"F.1167","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.1167","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",2,3.7
"F.0405","Control","Crystal Palace vs Brighton","Correct Score","Draw","1--1",0.5,2.75
"F.0405","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1.5,2.25
"F.0405","Control","Leeds vs Wolves","90 Minutes","Home","Leeds",1,2.6
"F.1084","Treatment","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",3,8.1
"F.0862","Treatment","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",1.5,4.05
"F.0862","Treatment","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",1,5
"F.0862","Treatment","Man City vs Arsenal","First Goalscorer","Home","Raheem Sterling",0.5,2.25
"F.0348","Treatment","Everton vs Liverpool","Correct Score","Home","3--1",1,26
"F.0348","Treatment","Everton vs Liverpool","Correct Score","Home","2--0",1,23
"F.0348","Treatment","Everton vs Liverpool","Correct Score","Draw","0--0",1,17
"F.1173","Control","Crystal Palace vs Brighton","90 Minutes","Draw","Draw",1,3.2
"F.1173","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.1173","Control","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",1,2.1
"F.0345","Treatment","Crystal Palace vs Brighton","90 Minutes","Away","Brighton",1,2.7
"F.0345","Treatment","Everton vs Liverpool","First Goalscorer","Away","Sadio Mane",0.5,2.5
"F.0345","Treatment","Newcastle vs Man Utd","First Goalscorer","Away","Mason Greenwood",0.5,3.5
"F.0345","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.0361","Control","Chelsea vs Southampton","90 Minutes","Away","Southampton",0.2,1.3
"F.0361","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.8,1.2
"F.0361","Control","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",1,2.1
"F.0361","Control","Sheffield Utd vs Fulham","90 Minutes","Away","Fulham",1,3.75
"F.1026","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",0.5,1.3
"F.1026","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",1,3.9
"F.0352","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0654","Treatment","Crystal Palace vs Brighton","Correct Score","Away","1--2",1,11
"F.0654","Treatment","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",1,5
"F.0654","Treatment","Sheffield Utd vs Fulham","Correct Score","Home","3--1",1,19
"F.0238","Treatment","Man City vs Arsenal","First Goalscorer","Home","Sergio Aguero",0.5,1.9
"F.0238","Treatment","Man City vs Arsenal","90 Minutes","Home","Man City",0.1,0.14
"F.0238","Treatment","Man City vs Arsenal","Correct Score","Home","3--1",0.2,2
"F.0677","Treatment","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",1,2.1
"F.0677","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",1,1.67
"F.0677","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",1,1.85
"F.0491","Treatment","Everton vs Liverpool","Correct Score","Draw","2--2",3,33
"F.1240","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.1240","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.0965","Control","Everton vs Liverpool","90 Minutes","Home","Everton",3,11.7
"F.0144","Control","Sheffield Utd vs Fulham","Correct Score","Home","2--0",1.1,9.35
"F.0144","Control","Newcastle vs Man Utd","Correct Score","Away","0--3",1,12
"F.0144","Control","Chelsea vs Southampton","Correct Score","Away","0--1",0.3,5.7
"F.0144","Control","Chelsea vs Southampton","Correct Score","Home","3--0",0.3,3.3
"F.0144","Control","Everton vs Liverpool","Correct Score","Away","1--2",0.3,2.4
"F.0357","Control","Crystal Palace vs Brighton","90 Minutes","Away","Brighton",0.3,0.81
"F.0357","Control","West Brom vs Burnley","90 Minutes","Away","Burnley",0.5,1.44
"F.0176","Treatment","Sheffield Utd vs Fulham","Correct Score","Home","1--0",3,18
"F.1046","Control","Leeds vs Wolves","Correct Score","Home","3--1",3,63
"F.0417","Treatment","Newcastle vs Man Utd","Correct Score","Home","2--1",3,45
"F.1253","Treatment","Man City vs Arsenal","90 Minutes","Away","Arsenal",3,22.5
"F.0787","Control","Newcastle vs Man Utd","Correct Score","Away","0--1",0.5,3.5
"F.0530","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.4,0.6
"F.0530","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",0.1,0.16
"F.0368","Control","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",0.5,2.5
"F.0368","Control","Leeds vs Wolves","90 Minutes","Home","Leeds",1,2.6
"F.0269","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",3,7.8
"F.0409","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.0409","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",0.25,0.42
"F.0409","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",0.5,1.95
"F.1064","Treatment","Crystal Palace vs Brighton","90 Minutes","Away","Brighton",0.25,0.68
"F.1064","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",0.5,0.79
"F.1064","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",0.25,0.65
"F.1064","Treatment","West Brom vs Burnley","90 Minutes","Away","Burnley",0.25,0.72
"F.1064","Treatment","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",0.5,1.05
"F.1064","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",0.25,0.42
"F.1064","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.1064","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",0.25,0.46
"F.1064","Treatment","Leicester vs Aston Villa","90 Minutes","Home","Leicester",0.25,0.45
"F.0166","Control","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",3,5
"F.1281","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.1281","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",0.5,0.93
"F.0705","Control","Everton vs Liverpool","90 Minutes","Draw","Draw",2,7.8
"F.0705","Control","Sheffield Utd vs Fulham","Correct Score","Home","2--0",1,8.5
"F.0638","Control","Crystal Palace vs Brighton","First Goalscorer","Draw","No Goalscorer",1,7.5
"F.0638","Control","West Brom vs Burnley","Correct Score","Home","1--0",1,7
"F.0638","Control","Man City vs Arsenal","90 Minutes","Home","Man City",1,1.4
"F.0461","Control","Everton vs Liverpool","90 Minutes","Home","Everton",0.5,1.95
"F.0461","Control","Tottenham vs West Ham","90 Minutes","Away","West Ham",1,5.8
"F.0461","Control","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",1,2.7
"F.0461","Control","Leeds vs Wolves","90 Minutes","Away","Wolves",0.5,1.44
"F.1055","Control","Newcastle vs Man Utd","90 Minutes","Draw","Draw",0.5,2
"F.1055","Control","West Brom vs Burnley","90 Minutes","Home","West Brom",1,2.5
"F.0374","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",0.5,0.79
"F.0374","Treatment","Tottenham vs West Ham","90 Minutes","Draw","Draw",0.5,2.1
"F.0374","Treatment","Tottenham vs West Ham","90 Minutes","Away","West Ham",0.5,2.9
"F.0374","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",0.5,0.93
"F.0374","Treatment","Everton vs Liverpool","90 Minutes","Draw","Draw",0.5,1.95
"F.0374","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",0.5,1.95
"F.0007","Treatment","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",1,2.7
"F.0007","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",0.5,0.83
"F.0007","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.0007","Treatment","Everton vs Liverpool","90 Minutes","Draw","Draw",0.5,1.95
"F.1179","Treatment","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",3,13
"F.0988","Treatment","Leeds vs Wolves","90 Minutes","Away","Wolves",1,2.88
"F.0202","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",2,3
"F.0202","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",1,1.85
"F.0492","Treatment","Man City vs Arsenal","90 Minutes","Home","Man City",2,2.8
"F.0492","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.0932","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.0470","Control","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",3,6.3
"F.0150","Treatment","Everton vs Liverpool","Correct Score","Draw","2--2",0.05,0.55
"F.0150","Treatment","Everton vs Liverpool","First Goalscorer","Home","Dominic Calvert-Lewin",0.2,1.1
"F.0150","Treatment","Leicester vs Aston Villa","Correct Score","Home","3--1",0.25,3
"F.0150","Treatment","Leicester vs Aston Villa","First Goalscorer","Away","Ollie Watkins",0.25,1.75
"F.0150","Treatment","Leicester vs Aston Villa","First Goalscorer","Away","Ollie Watkins",0.25,1.75
"F.0300","Treatment","Man City vs Arsenal","90 Minutes","Draw","Draw",1,5
"F.0973","Treatment","Newcastle vs Man Utd","Correct Score","Draw","1--1",0.5,3.25
"F.0973","Treatment","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",0.5,1.05
"F.0973","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.0973","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",0.5,1.95
"F.0703","Control","Man City vs Arsenal","90 Minutes","Away","Arsenal",3,22.5
"F.0172","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.0172","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",1,1.85
"F.0172","Control","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",1,4.33
"F.1269","Treatment","Man City vs Arsenal","90 Minutes","Draw","Draw",1,5
"F.1269","Treatment","Leicester vs Aston Villa","90 Minutes","Home","Leicester",1,1.8
"F.1269","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",1,2.6
"F.0200","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",0.5,0.93
"F.0200","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",0.5,0.83
"F.0200","Treatment","Chelsea vs Southampton","Correct Score","Home","2--0",0.25,2
"F.0023","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.0540","Control","Chelsea vs Southampton","Correct Score","Home","1--0",3,27
"F.1074","Treatment","Tottenham vs West Ham","Correct Score","Home","3--1",3,36
"F.1039","Treatment","West Brom vs Burnley","Correct Score","Away","0--1",0.2,1.6
"F.1039","Treatment","Leeds vs Wolves","Correct Score","Away","0--1",0.2,1.6
"F.1039","Treatment","Tottenham vs West Ham","Correct Score","Home","3--0",0.2,2.4
"F.1039","Treatment","Man City vs Arsenal","Correct Score","Home","3--1",0.2,2
"F.1039","Treatment","Newcastle vs Man Utd","90 Minutes","Draw","Draw",0.2,0.8
"F.1039","Treatment","Chelsea vs Southampton","Correct Score","Home","2--0",0.2,1.6
"F.1039","Treatment","Everton vs Liverpool","Correct Score","Away","1--2",0.2,1.6
"F.0256","Control","Leeds vs Wolves","90 Minutes","Home","Leeds",3,7.8
"F.1291","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.1292","Control","Man City vs Arsenal","90 Minutes","Home","Man City",1,1.4
"F.1292","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.1292","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.0472","Treatment","Everton vs Liverpool","Correct Score","Home","2--0",3,69
"F.0869","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",1,3.9
"F.0089","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",1.5,2.78
"F.0089","Control","Everton vs Liverpool","90 Minutes","Home","Everton",1.5,5.85
"F.0819","Treatment","Leeds vs Wolves","90 Minutes","Draw","Draw",0.3,0.98
"F.0819","Treatment","Tottenham vs West Ham","90 Minutes","Draw","Draw",0.3,1.26
"F.0819","Treatment","Crystal Palace vs Brighton","90 Minutes","Draw","Draw",0.3,0.96
"F.0819","Treatment","Man City vs Arsenal","90 Minutes","Draw","Draw",0.3,1.5
"F.0819","Treatment","West Brom vs Burnley","90 Minutes","Draw","Draw",0.3,0.99
"F.0819","Treatment","Sheffield Utd vs Fulham","90 Minutes","Draw","Draw",0.3,0.98
"F.0819","Treatment","Newcastle vs Man Utd","90 Minutes","Draw","Draw",0.3,1.2
"F.0819","Treatment","Leicester vs Aston Villa","90 Minutes","Draw","Draw",0.3,1.14
"F.0819","Treatment","Chelsea vs Southampton","90 Minutes","Draw","Draw",0.3,1.32
"F.0819","Treatment","Everton vs Liverpool","90 Minutes","Draw","Draw",0.3,1.17
"F.0088","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.0883","Treatment","Chelsea vs Southampton","Correct Score","Draw","0--0",1,17
"F.0883","Treatment","Sheffield Utd vs Fulham","Correct Score","Home","2--0",1,8.5
"F.0883","Treatment","Leeds vs Wolves","Correct Score","Draw","1--1",1,5.5
"F.0910","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",0.54,1
"F.0910","Treatment","Everton vs Liverpool","First Goalscorer","Away","Mohamed Salah",1,4.2
"F.0780","Control","Sheffield Utd vs Fulham","90 Minutes","Away","Fulham",0.5,1.88
"F.0780","Control","Crystal Palace vs Brighton","90 Minutes","Draw","Draw",0.5,1.6
"F.0780","Control","Leicester vs Aston Villa","90 Minutes","Home","Leicester",1,1.8
"F.0780","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.0986","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0442","Control","Leeds vs Wolves","Correct Score","Away","1--2",0.1,1
"F.0442","Control","Tottenham vs West Ham","Correct Score","Home","3--0",0.1,1.2
"F.0442","Control","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",0.1,0.27
"F.0442","Control","Man City vs Arsenal","90 Minutes","Home","Man City",0.1,0.14
"F.0442","Control","Man City vs Arsenal","Correct Score","Home","6--0",0.1,5.6
"F.0442","Control","West Brom vs Burnley","Correct Score","Away","0--2",0.1,1.3
"F.0442","Control","West Brom vs Burnley","90 Minutes","Draw","Draw",0.1,0.33
"F.0442","Control","Sheffield Utd vs Fulham","Correct Score","Home","1--0",0.1,0.6
"F.0442","Control","Sheffield Utd vs Fulham","90 Minutes","Draw","Draw",0.1,0.33
"F.0442","Control","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",0.1,0.17
"F.0442","Control","Newcastle vs Man Utd","Correct Score","Home","4--3",0.1,10.1
"F.0442","Control","Leicester vs Aston Villa","90 Minutes","Home","Leicester",0.1,0.18
"F.0442","Control","Chelsea vs Southampton","Correct Score","Home","3--0",0.1,1.1
"F.0442","Control","Everton vs Liverpool","90 Minutes","Draw","Draw",0.1,0.39
"F.0442","Control","Everton vs Liverpool","90 Minutes","Draw","Draw",0.1,0.39
"F.0432","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.1111","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.0960","Treatment","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",0.1,0.5
"F.0960","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",0.48,1.25
"F.0960","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.48,0.72
"F.0960","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",0.48,0.75
"F.0960","Treatment","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",0.48,2.08
"F.0960","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",0.48,1.87
"F.1030","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0629","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",1,3.9
"F.0629","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",2,5.2
"F.0586","Treatment","Leeds vs Wolves","Correct Score","Home","2--1",0.2,1.9
"F.0586","Treatment","Crystal Palace vs Brighton","Correct Score","Home","3--0",0.2,4.6
"F.0586","Treatment","Leicester vs Aston Villa","Correct Score","Home","1--0",0.2,1.8
"F.0586","Treatment","Everton vs Liverpool","Correct Score","Home","2--0",0.2,4.6
"F.1041","Control","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",3,5
"F.0266","Control","Crystal Palace vs Brighton","First Goalscorer","Draw","No Goalscorer",0.5,3.75
"F.0266","Control","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",0.5,1.35
"F.0142","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.0892","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0674","Control","Chelsea vs Southampton","Correct Score","Home","1--0",3,27
"F.1060","Control","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",1,1.67
"F.1066","Control","Leicester vs Aston Villa","Correct Score","Home","3--0",1,15
"F.1066","Control","Everton vs Liverpool","Correct Score","Home","3--1",1,26
"F.1066","Control","Chelsea vs Southampton","Correct Score","Home","4--2",0.5,17
"F.1066","Control","Sheffield Utd vs Fulham","Correct Score","Home","4--1",0.5,20.5
"F.1146","Control","Everton vs Liverpool","Correct Score","Home","1--0",3,45
"F.0694","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0635","Treatment","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",3,6.3
"F.0553","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.0682","Control","Crystal Palace vs Brighton","Correct Score","Draw","1--1",1,5.5
"F.0682","Control","Man City vs Arsenal","Correct Score","Home","2--0",1,8.5
"F.0682","Control","Everton vs Liverpool","Correct Score","Away","0--3",1,15
"F.1229","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.1095","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1.5,2.36
"F.1095","Treatment","Leeds vs Wolves","First Goalscorer","Home","Patrick Bamford",1,6
"F.1095","Treatment","Chelsea vs Southampton","Correct Score","Home","4--0",0.5,8.5
"F.1119","Treatment","Leicester vs Aston Villa","90 Minutes","Draw","Draw",1,3.8
"F.1119","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",1,1.85
"F.1119","Treatment","Chelsea vs Southampton","Correct Score","Home","2--0",1,8
"F.0116","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.1216","Treatment","Everton vs Liverpool","Correct Score","Away","1--4",3,69
"F.0549","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.1007","Control","Leeds vs Wolves","90 Minutes","Home","Leeds",0.25,0.65
"F.1007","Control","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",0.25,1.25
"F.1007","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.25,0.38
"F.1007","Control","Everton vs Liverpool","90 Minutes","Home","Everton",0.25,0.98
"F.0128","Treatment","Man City vs Arsenal","90 Minutes","Home","Man City",3,4.2
"F.0494","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.0957","Treatment","Leeds vs Wolves","Correct Score","Home","2--0",2,24
"F.0957","Treatment","Leeds vs Wolves","First Goalscorer","Home","Mateusz Klich",1,10
"F.0644","Control","Tottenham vs West Ham","Correct Score","Home","2--1",1,8
"F.0644","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.0644","Control","Everton vs Liverpool","Correct Score","Draw","1--1",1,7
"F.0169","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.1107","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.1027","Control","Man City vs Arsenal","90 Minutes","Away","Arsenal",2,15
"F.1193","Treatment","Man City vs Arsenal","90 Minutes","Home","Man City",1.5,2.1
"F.0871","Control","Everton vs Liverpool","Correct Score","Home","3--0",0.5,20.5
"F.0871","Control","Chelsea vs Southampton","Correct Score","Away","0--3",0.5,35.5
"F.0871","Control","Newcastle vs Man Utd","Correct Score","Home","3--0",0.5,30.5
"F.0871","Control","Crystal Palace vs Brighton","Correct Score","Away","2--3",0.5,18
"F.0871","Control","Man City vs Arsenal","Correct Score","Away","2--3",0.5,20.5
"F.0871","Control","Leeds vs Wolves","Correct Score","Home","3--0",0.5,13
"F.1204","Treatment","Leeds vs Wolves","90 Minutes","Draw","Draw",1,3.25
"F.1204","Treatment","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",1,5
